x	key	group
-5	pred	1
-4.98	pred	2
-4.96	pred	3
-4.94	pred	4
-4.92	pred	5
-4.9	pred	6
-4.88	pred	7
-4.86	pred	8
-4.84	pred	9
-4.82	pred	10
-4.8	pred	11
-4.78	pred	12
-4.76	pred	13
-4.74	pred	14
-4.72	pred	15
-4.7	pred	16
-4.68	pred	17
-4.66	pred	18
-4.64	pred	19
-4.62	pred	20
-4.6	pred	21
-4.58	pred	22
-4.56	pred	23
-4.54	pred	24
-4.52	pred	25
-4.5	pred	26
-4.48	pred	27
-4.46	pred	28
-4.44	pred	29
-4.42	pred	30
-4.4	pred	31
-4.38	pred	32
-4.36	pred	33
-4.34	pred	34
-4.32	pred	35
-4.3	pred	36
-4.28	pred	37
-4.26	pred	38
-4.24	pred	39
-4.22	pred	40
-4.2	pred	41
-4.18	pred	42
-4.16	pred	43
-4.14	pred	44
-4.12	pred	45
-4.1	pred	46
-4.08	pred	47
-4.06	pred	48
-4.04	pred	49
-4.02	pred	50
-4	pred	51
-3.98	pred	52
-3.96	pred	53
-3.94	pred	54
-3.92	pred	55
-3.9	pred	56
-3.88	pred	57
-3.86	pred	58
-3.84	pred	59
-3.82	pred	60
-3.8	pred	61
-3.78	pred	62
-3.76	pred	63
-3.74	pred	64
-3.72	pred	65
-3.7	pred	66
-3.68	pred	67
-3.66	pred	68
-3.64	pred	69
-3.62	pred	70
-3.6	pred	71
-3.58	pred	72
-3.56	pred	73
-3.54	pred	74
-3.52	pred	75
-3.5	pred	76
-3.48	pred	77
-3.46	pred	78
-3.44	pred	79
-3.42	pred	80
-3.4	pred	81
-3.38	pred	82
-3.36	pred	83
-3.34	pred	84
-3.32	pred	85
-3.3	pred	86
-3.28	pred	87
-3.26	pred	88
-3.24	pred	89
-3.22	pred	90
-3.2	pred	91
-3.18	pred	92
-3.16	pred	93
-3.14	pred	94
-3.12	pred	95
-3.1	pred	96
-3.08	pred	97
-3.06	pred	98
-3.04	pred	99
-3.02	pred	100
-3	pred	101
-2.98	pred	102
-2.96	pred	103
-2.94	pred	104
-2.92	pred	105
-2.9	pred	106
-2.88	pred	107
-2.86	pred	108
-2.84	pred	109
-2.82	pred	110
-2.8	pred	111
-2.78	pred	112
-2.76	pred	113
-2.74	pred	114
-2.72	pred	115
-2.7	pred	116
-2.68	pred	117
-2.66	pred	118
-2.64	pred	119
-2.62	pred	120
-2.6	pred	121
-2.58	pred	122
-2.56	pred	123
-2.54	pred	124
-2.52	pred	125
-2.5	pred	126
-2.48	pred	127
-2.46	pred	128
-2.44	pred	129
-2.42	pred	130
-2.4	pred	131
-2.38	pred	132
-2.36	pred	133
-2.34	pred	134
-2.32	pred	135
-2.3	pred	136
-2.28	pred	137
-2.26	pred	138
-2.24	pred	139
-2.22	pred	140
-2.2	pred	141
-2.18	pred	142
-2.16	pred	143
-2.14	pred	144
-2.12	pred	145
-2.1	pred	146
-2.08	pred	147
-2.06	pred	148
-2.04	pred	149
-2.02	pred	150
-2	pred	151
-1.98	pred	152
-1.96	pred	153
-1.94	pred	154
-1.92	pred	155
-1.9	pred	156
-1.88	pred	157
-1.86	pred	158
-1.84	pred	159
-1.82	pred	160
-1.8	pred	161
-1.78	pred	162
-1.76	pred	163
-1.74	pred	164
-1.72	pred	165
-1.7	pred	166
-1.68	pred	167
-1.66	pred	168
-1.64	pred	169
-1.62	pred	170
-1.6	pred	171
-1.58	pred	172
-1.56	pred	173
-1.54	pred	174
-1.52	pred	175
-1.5	pred	176
-1.48	pred	177
-1.46	pred	178
-1.44	pred	179
-1.42	pred	180
-1.4	pred	181
-1.38	pred	182
-1.36	pred	183
-1.34	pred	184
-1.32	pred	185
-1.3	pred	186
-1.28	pred	187
-1.26	pred	188
-1.24	pred	189
-1.22	pred	190
-1.2	pred	191
-1.18	pred	192
-1.16	pred	193
-1.14	pred	194
-1.12	pred	195
-1.1	pred	196
-1.08	pred	197
-1.06	pred	198
-1.04	pred	199
-1.02	pred	200
-1	pred	201
-0.98	pred	202
-0.96	pred	203
-0.94	pred	204
-0.92	pred	205
-0.9	pred	206
-0.88	pred	207
-0.86	pred	208
-0.84	pred	209
-0.82	pred	210
-0.8	pred	211
-0.78	pred	212
-0.76	pred	213
-0.74	pred	214
-0.72	pred	215
-0.7	pred	216
-0.68	pred	217
-0.66	pred	218
-0.64	pred	219
-0.62	pred	220
-0.6	pred	221
-0.58	pred	222
-0.56	pred	223
-0.54	pred	224
-0.52	pred	225
-0.5	pred	226
-0.48	pred	227
-0.46	pred	228
-0.44	pred	229
-0.42	pred	230
-0.399999999999999	pred	231
-0.38	pred	232
-0.36	pred	233
-0.34	pred	234
-0.32	pred	235
-0.3	pred	236
-0.28	pred	237
-0.26	pred	238
-0.24	pred	239
-0.22	pred	240
-0.2	pred	241
-0.18	pred	242
-0.16	pred	243
-0.14	pred	244
-0.12	pred	245
-0.0999999999999996	pred	246
-0.0800000000000001	pred	247
-0.0599999999999996	pred	248
-0.04	pred	249
-0.0199999999999996	pred	250
0	pred	251
0.0200000000000005	pred	252
0.04	pred	253
0.0600000000000005	pred	254
0.0800000000000001	pred	255
0.100000000000001	pred	256
0.12	pred	257
0.14	pred	258
0.16	pred	259
0.18	pred	260
0.2	pred	261
0.22	pred	262
0.24	pred	263
0.26	pred	264
0.28	pred	265
0.3	pred	266
0.32	pred	267
0.34	pred	268
0.36	pred	269
0.38	pred	270
0.4	pred	271
0.42	pred	272
0.44	pred	273
0.46	pred	274
0.48	pred	275
0.5	pred	276
0.52	pred	277
0.54	pred	278
0.56	pred	279
0.58	pred	280
0.600000000000001	pred	281
0.62	pred	282
0.64	pred	283
0.66	pred	284
0.68	pred	285
0.7	pred	286
0.72	pred	287
0.74	pred	288
0.76	pred	289
0.78	pred	290
0.8	pred	291
0.82	pred	292
0.84	pred	293
0.86	pred	294
0.88	pred	295
0.9	pred	296
0.92	pred	297
0.94	pred	298
0.96	pred	299
0.98	pred	300
1	pred	301
1.02	pred	302
1.04	pred	303
1.06	pred	304
1.08	pred	305
1.1	pred	306
1.12	pred	307
1.14	pred	308
1.16	pred	309
1.18	pred	310
1.2	pred	311
1.22	pred	312
1.24	pred	313
1.26	pred	314
1.28	pred	315
1.3	pred	316
1.32	pred	317
1.34	pred	318
1.36	pred	319
1.38	pred	320
1.4	pred	321
1.42	pred	322
1.44	pred	323
1.46	pred	324
1.48	pred	325
1.5	pred	326
1.52	pred	327
1.54	pred	328
1.56	pred	329
1.58	pred	330
1.6	pred	331
1.62	pred	332
1.64	pred	333
1.66	pred	334
1.68	pred	335
1.7	pred	336
1.72	pred	337
1.74	pred	338
1.76	pred	339
1.78	pred	340
1.8	pred	341
1.82	pred	342
1.84	pred	343
1.86	pred	344
1.88	pred	345
1.9	pred	346
1.92	pred	347
1.94	pred	348
1.96	pred	349
1.98	pred	350
2	pred	351
2.02	pred	352
2.04	pred	353
2.06	pred	354
2.08	pred	355
2.1	pred	356
2.12	pred	357
2.14	pred	358
2.16	pred	359
2.18	pred	360
2.2	pred	361
2.22	pred	362
2.24	pred	363
2.26	pred	364
2.28	pred	365
2.3	pred	366
2.32	pred	367
2.34	pred	368
2.36	pred	369
2.38	pred	370
2.4	pred	371
2.42	pred	372
2.44	pred	373
2.46	pred	374
2.48	pred	375
2.5	pred	376
2.52	pred	377
2.54	pred	378
2.56	pred	379
2.58	pred	380
2.6	pred	381
2.62	pred	382
2.64	pred	383
2.66	pred	384
2.68	pred	385
2.7	pred	386
2.72	pred	387
2.74	pred	388
2.76	pred	389
2.78	pred	390
2.8	pred	391
2.82	pred	392
2.84	pred	393
2.86	pred	394
2.88	pred	395
2.9	pred	396
2.92	pred	397
2.94	pred	398
2.96	pred	399
2.98	pred	400
3	pred	401
3.02	pred	402
3.04	pred	403
3.06	pred	404
3.08	pred	405
3.1	pred	406
3.12	pred	407
3.14	pred	408
3.16	pred	409
3.18	pred	410
3.2	pred	411
3.22	pred	412
3.24	pred	413
3.26	pred	414
3.28	pred	415
3.3	pred	416
3.32	pred	417
3.34	pred	418
3.36	pred	419
3.38	pred	420
3.4	pred	421
3.42	pred	422
3.44	pred	423
3.46	pred	424
3.48	pred	425
3.5	pred	426
3.52	pred	427
3.54	pred	428
3.56	pred	429
3.58	pred	430
3.6	pred	431
3.62	pred	432
3.64	pred	433
3.66	pred	434
3.68	pred	435
3.7	pred	436
3.72	pred	437
3.74	pred	438
3.76	pred	439
3.78	pred	440
3.8	pred	441
3.82	pred	442
3.84	pred	443
3.86	pred	444
3.88	pred	445
3.9	pred	446
3.92	pred	447
3.94	pred	448
3.96	pred	449
3.98	pred	450
4	pred	451
4.02	pred	452
4.04	pred	453
4.06	pred	454
4.08	pred	455
4.1	pred	456
4.12	pred	457
4.14	pred	458
4.16	pred	459
4.18	pred	460
4.2	pred	461
4.22	pred	462
4.24	pred	463
4.26	pred	464
4.28	pred	465
4.3	pred	466
4.32	pred	467
4.34	pred	468
4.36	pred	469
4.38	pred	470
4.4	pred	471
4.42	pred	472
4.44	pred	473
4.46	pred	474
4.48	pred	475
4.5	pred	476
4.52	pred	477
4.54	pred	478
4.56	pred	479
4.58	pred	480
4.6	pred	481
4.62	pred	482
4.64	pred	483
4.66	pred	484
4.68	pred	485
4.7	pred	486
4.72	pred	487
4.74	pred	488
4.76	pred	489
4.78	pred	490
4.8	pred	491
4.82	pred	492
4.84	pred	493
4.86	pred	494
4.88	pred	495
4.9	pred	496
4.92	pred	497
4.94	pred	498
4.96	pred	499
4.98	pred	500
5	pred	501
